post_id,date,period,channel,channel_type,content_type,is_paid,spend_usd,impressions,video_views,likes,shares,comments,clicks,landing_page
P0000001,2025-10-01,pre_campaign,TikTok,social,teaser,0,0.0,127664,59326,6287,698,354,2080,/landing/free-trial
P0000002,2025-10-01,pre_campaign,Instagram,social,teaser,0,0.0,78071,24734,3400,349,96,872,/landing/rewards
P0000003,2025-10-01,pre_campaign,X,social,behind_scenes,0,0.0,42378,2492,486,80,29,345,/landing/partner-gyms
P0000004,2025-10-01,pre_campaign,TV_Trailer,offline_media,teaser,0,0.0,103586,20482,0,0,0,313,/landing/partner-gyms
P0000005,2025-10-02,pre_campaign,TikTok,social,teaser,0,0.0,77353,36789,2575,669,314,1145,/landing/partner-gyms
P0000006,2025-10-02,pre_campaign,TikTok,social,teaser,0,0.0,87811,41320,4749,362,148,979,/landing/partner-gyms
P0000007,2025-10-02,pre_campaign,TikTok,social,teaser,0,0.0,97485,44868,5117,736,389,730,/landing/free-trial
P0000008,2025-10-02,pre_campaign,TikTok,social,behind_scenes,0,0.0,148740,66684,8421,214,443,2057,/landing/documentary
P0000009,2025-10-03,pre_campaign,TikTok,social,teaser,0,0.0,125492,47602,7709,1053,89,1043,/landing/free-trial
P0000010,2025-10-03,pre_campaign,TikTok,social,teaser,0,0.0,136044,77562,5833,1298,238,1263,/landing/free-trial
P0000011,2025-10-03,pre_campaign,TikTok,social,behind_scenes,0,0.0,234021,123578,15735,2515,669,3158,/landing/partner-gyms
P0000012,2025-10-03,pre_campaign,TikTok,social,behind_scenes,0,0.0,131447,51058,4018,1472,209,876,/landing/documentary
P0000013,2025-10-03,pre_campaign,Instagram,social,teaser,1,1227.02,76801,24896,3579,10,97,1831,/landing/rewards
P0000014,2025-10-03,pre_campaign,Instagram,social,behind_scenes,0,0.0,51467,12687,2185,61,83,698,/landing/partner-gyms
P0000015,2025-10-03,pre_campaign,X,social,teaser,0,0.0,26865,1176,267,99,39,204,/landing/documentary
P0000016,2025-10-03,pre_campaign,X,social,teaser,1,624.78,99890,2406,1203,421,101,957,/landing/free-trial
P0000017,2025-10-04,pre_campaign,TikTok,social,teaser,0,0.0,85343,31906,2081,1076,264,1279,/landing/free-trial
P0000018,2025-10-04,pre_campaign,YouTube,video,behind_scenes,0,0.0,66721,38562,1367,177,167,567,/landing/free-trial
